year,state,population,State,Abbrev,Code
1979,GA,5390853,Georgia,Ga.,GA
1979,HI,950042,Hawaii,Hawaii,HI
1979,IA,2916824,Iowa,Iowa,IA
1979,ID,932725,Idaho,Idaho,ID
1979,IL,11422890,Illinois,Ill.,IL
1979,IN,5474976,Indiana,Ind.,IN
1979,KS,2347705,Kansas,Kans.,KS
1979,KY,3643920,Kentucky,Ky.,KY
1979,LA,4139128,Louisiana,La.,LA
1979,MA,5746212,Massachusetts,Mass.,MA
1979,MD,4223366,Maryland,Md.,MD
1979,ME,1124939,Maine,Maine,ME
1979,MI,9248893,Michigan,Mich.,MI
1979,MN,4038217,Minnesota,Minn.,MN
1979,MO,4889416,Missouri,Mo.,MO
1979,MS,2507743,Mississippi,Miss.,MS
1979,MT,789255,Montana,Mont.,MT
1979,NC,5801496,North Carolina,N.C.,NC
1979,ND,652317,North Dakota,N.D.,ND
1979,NE,1564670,Nebraska,Nebr.,NE
1979,NH,911900,New Hampshire,N.H.,NH
1979,NJ,7373065,New Jersey,N.J.,NJ
1979,NM,1280594,New Mexico,N.M.,NM
1979,NV,765194,Nevada,Nev.,NV
1979,NY,17633759,New York,N.Y.,NY
1979,OH,10798677,Ohio,Ohio,OH
1979,OK,2970069,Oklahoma,Okla.,OK
1979,OR,2578367,Oregon,Ore.,OR
1979,PA,11873663,Pennsylvania,Pa.,PA
1979,RI,956651,Rhode Island,R.I.,RI
1979,SC,3086840,South Carolina,S.C.,SC
1979,SD,689106,South Dakota,S.D.,SD
1979,TN,4533346,Tennessee,Tenn.,TN
1979,TX,13887550,Texas,Tex.,TX
1979,UT,1416142,Utah,Utah,UT
1979,VA,5324338,Virginia,Va.,VA
1979,VT,505730,Vermont,Vt.,VT
1979,WA,4012909,Washington,Wash.,WA
1979,WI,4665965,Wisconsin,Wis.,WI
1979,WV,1939112,West Virginia,W.Va.,WV
1979,WY,451894,Wyoming,Wyo.,WY
1980,AK,404680,Alaska,Alaska,AK
1980,AL,3899671,Alabama,Ala.,AL
1980,AR,2288809,Arkansas,Ark.,AR
1980,AZ,2735840,Arizona,Ariz.,AZ
1980,CA,23792840,California,Calif.,CA
1980,CO,2909545,Colorado,Colo.,CO
1980,CT,3114221,Connecticut,Conn.,CT
1980,DC,637161,District of Columbia,D.C.,DC
1980,DE,594936,Delaware,Del.,DE
1980,FL,9841159,Florida,Fla.,FL
1980,GA,5484427,Georgia,Ga.,GA
1980,HI,961525,Hawaii,Hawaii,HI
1980,IA,2915562,Iowa,Iowa,IA
1980,ID,948582,Idaho,Idaho,ID
1980,IL,11435454,Illinois,Ill.,IL
1980,IN,5492740,Indiana,Ind.,IN
1980,KS,2370088,Kansas,Kans.,KS
1980,KY,3665364,Kentucky,Ky.,KY
1980,LA,4221583,Louisiana,La.,LA
1980,MA,5748441,Massachusetts,Mass.,MA
1980,MD,4226191,Maryland,Md.,MD
1980,ME,1127825,Maine,Maine,ME
1980,MI,9256676,Michigan,Mich.,MI
1980,MN,4086746,Minnesota,Minn.,MN
1980,MO,4923025,Missouri,Mo.,MO
1980,MS,2524011,Mississippi,Miss.,MS
1980,MT,788754,Montana,Mont.,MT
1980,NC,5896178,North Carolina,N.C.,NC
1980,ND,654501,North Dakota,N.D.,ND
1980,NE,1572854,Nebraska,Nebr.,NE
1980,NH,924802,New Hampshire,N.H.,NH
1980,NJ,7376972,New Jersey,N.J.,NJ
1980,NM,1309108,New Mexico,N.M.,NM
1980,NV,810232,Nevada,Nev.,NV
1980,NY,17566376,New York,N.Y.,NY
1980,OH,10803551,Ohio,Ohio,OH
1980,OK,3040067,Oklahoma,Okla.,OK
1980,OR,2642128,Oregon,Ore.,OR
1980,PA,11872347,Pennsylvania,Pa.,PA
1980,RI,949207,Rhode Island,R.I.,RI
1980,SC,3132387,South Carolina,S.C.,SC
1980,SD,690713,South Dakota,S.D.,SD
1980,TN,4600705,Tennessee,Tenn.,TN
1980,TX,14337755,Texas,Tex.,TX
1980,UT,1473171,Utah,Utah,UT
1980,VA,5367648,Virginia,Va.,VA
1980,VT,512824,Vermont,Vt.,VT
1980,WA,4155198,Washington,Wash.,WA
1980,WI,4713991,Wisconsin,Wis.,WI
1980,WV,1952874,West Virginia,W.Va.,WV
1980,WY,474381,Wyoming,Wyo.,WY
1981,AK,418519,Alaska,Alaska,AK
1981,AL,3918526,Alabama,Ala.,AL
1981,AR,2293196,Arkansas,Ark.,AR
1981,AZ,2810110,Arizona,Ariz.,AZ
1981,CA,24285898,California,Calif.,CA
1981,CO,2977917,Colorado,Colo.,CO
1981,CT,3128849,Connecticut,Conn.,CT
1981,DC,636891,District of Columbia,D.C.,DC
1981,DE,595974,Delaware,Del.,DE
1981,FL,10192814,Florida,Fla.,FL
1981,GA,5568420,Georgia,Ga.,GA
1981,HI,978201,Hawaii,Hawaii,HI
1981,IA,2908003,Iowa,Iowa,IA
1981,ID,962244,Idaho,Idaho,ID
1981,IL,11443511,Illinois,Ill.,IL
1981,IN,5480482,Indiana,Ind.,IN
1981,KS,2384813,Kansas,Kans.,KS
1981,KY,3670396,Kentucky,Ky.,KY
1981,LA,4283312,Louisiana,La.,LA
1981,MA,5768702,Massachusetts,Mass.,MA
1981,MD,4261930,Maryland,Md.,MD
1981,ME,1133039,Maine,Maine,ME
1981,MI,9209352,Michigan,Mich.,MI
1981,MN,4111752,Minnesota,Minn.,MN
1981,MO,4932103,Missouri,Mo.,MO
1981,MS,2539038,Mississippi,Miss.,MS
1981,MT,795330,Montana,Mont.,MT
1981,NC,5956718,North Carolina,N.C.,NC
1981,ND,659494,North Dakota,N.D.,ND
1981,NE,1578481,Nebraska,Nebr.,NE
1981,NH,936630,New Hampshire,N.H.,NH
1981,NJ,7407508,New Jersey,N.J.,NJ
1981,NM,1332768,New Mexico,N.M.,NM
1981,NV,847644,Nevada,Nev.,NV
1981,NY,17567730,New York,N.Y.,NY
1981,OH,10788342,Ohio,Ohio,OH
1981,OK,3096133,Oklahoma,Okla.,OK
1981,OR,2667999,Oregon,Ore.,OR
1981,PA,11858669,Pennsylvania,Pa.,PA
1981,RI,953015,Rhode Island,R.I.,RI
1981,SC,3179269,South Carolina,S.C.,SC
1981,SD,689582,South Dakota,S.D.,SD
1981,TN,4627668,Tennessee,Tenn.,TN
1981,TX,14746340,Texas,Tex.,TX
1981,UT,1515483,Utah,Utah,UT
1981,VA,5444155,Virginia,Va.,VA
1981,VT,515588,Vermont,Vt.,VT
1981,WA,4235733,Washington,Wash.,WA
1981,WI,4726315,Wisconsin,Wis.,WI
1981,WV,1954105,West Virginia,W.Va.,WV
1981,WY,491700,Wyoming,Wyo.,WY
1982,AK,449608,Alaska,Alaska,AK
1982,AL,3925328,Alabama,Ala.,AL
1982,AR,2294297,Arkansas,Ark.,AR
1982,AZ,2889877,Arizona,Ariz.,AZ
1982,CA,24820025,California,Calif.,CA
1982,CO,3061599,Colorado,Colo.,CO
1982,CT,3139008,Connecticut,Conn.,CT
1982,DC,634174,District of Columbia,D.C.,DC
1982,DE,599149,Delaware,Del.,DE
1982,FL,10471438,Florida,Fla.,FL
1982,GA,5649788,Georgia,Ga.,GA
1982,HI,993775,Hawaii,Hawaii,HI
1982,IA,2888209,Iowa,Iowa,IA
1982,ID,973714,Idaho,Idaho,ID
1982,IL,11423449,Illinois,Ill.,IL
1982,IN,5467946,Indiana,Ind.,IN
1982,KS,2401220,Kansas,Kans.,KS
1982,KY,3683427,Kentucky,Ky.,KY
1982,LA,4352625,Louisiana,La.,LA
1982,MA,5771203,Massachusetts,Mass.,MA
1982,MD,4282946,Maryland,Md.,MD
1982,ME,1136698,Maine,Maine,ME
1982,MI,9115204,Michigan,Mich.,MI
1982,MN,4131469,Minnesota,Minn.,MN
1982,MO,4929471,Missouri,Mo.,MO
1982,MS,2556810,Mississippi,Miss.,MS
1982,MT,803966,Montana,Mont.,MT
1982,NC,6019166,North Carolina,N.C.,NC
1982,ND,668960,North Dakota,N.D.,ND
1982,NE,1581747,Nebraska,Nebr.,NE
1982,NH,947716,New Hampshire,N.H.,NH
1982,NJ,7431031,New Jersey,N.J.,NJ
1982,NM,1363854,New Mexico,N.M.,NM
1982,NV,881550,Nevada,Nev.,NV
1982,NY,17589772,New York,N.Y.,NY
1982,OH,10757118,Ohio,Ohio,OH
1982,OK,3206103,Oklahoma,Okla.,OK
1982,OR,2664930,Oregon,Ore.,OR
1982,PA,11845214,Pennsylvania,Pa.,PA
1982,RI,954178,Rhode Island,R.I.,RI
1982,SC,3207614,South Carolina,S.C.,SC
1982,SD,690586,South Dakota,S.D.,SD
1982,TN,4646050,Tennessee,Tenn.,TN
1982,TX,15331379,Texas,Tex.,TX
1982,UT,1558322,Utah,Utah,UT
1982,VA,5492848,Virginia,Va.,VA
1982,VT,519113,Vermont,Vt.,VT
1982,WA,4276533,Washington,Wash.,WA
1982,WI,4728879,Wisconsin,Wis.,WI
1982,WV,1949642,West Virginia,W.Va.,WV
1982,WY,506378,Wyoming,Wyo.,WY
1983,AK,488423,Alaska,Alaska,AK
1983,AL,3934100,Alabama,Ala.,AL
1983,AR,2305796,Arkansas,Ark.,AR
1983,AZ,2968912,Arizona,Ariz.,AZ
1983,CA,25360028,California,Calif.,CA
1983,CO,3133614,Colorado,Colo.,CO
1983,CT,3162366,Connecticut,Conn.,CT
1983,DC,632433,District of Columbia,D.C.,DC
1983,DE,605455,Delaware,Del.,DE
1983,FL,10749908,Florida,Fla.,FL
1983,GA,5728301,Georgia,Ga.,GA
1983,HI,1012718,Hawaii,Hawaii,HI
1983,IA,2870580,Iowa,Iowa,IA
1983,ID,981895,Idaho,Idaho,ID
1983,IL,11408779,Illinois,Ill.,IL
1983,IN,5450407,Indiana,Ind.,IN
1983,KS,2415565,Kansas,Kans.,KS
1983,KY,3694465,Kentucky,Ky.,KY
1983,LA,4395334,Louisiana,La.,LA
1983,MA,5799434,Massachusetts,Mass.,MA
1983,MD,4313319,Maryland,Md.,MD
1983,ME,1144777,Maine,Maine,ME
1983,MI,9047772,Michigan,Mich.,MI
1983,MN,4141479,Minnesota,Minn.,MN
1983,MO,4943767,Missouri,Mo.,MO
1983,MS,2567731,Mississippi,Miss.,MS
1983,MT,814009,Montana,Mont.,MT
1983,NC,6077149,North Carolina,N.C.,NC
1983,ND,676664,North Dakota,N.D.,ND
1983,NE,1584296,Nebraska,Nebr.,NE
1983,NH,958127,New Hampshire,N.H.,NH
1983,NJ,7467818,New Jersey,N.J.,NJ
1983,NM,1394380,New Mexico,N.M.,NM
1983,NV,901987,Nevada,Nev.,NV
1983,NY,17686905,New York,N.Y.,NY
1983,OH,10737664,Ohio,Ohio,OH
1983,OK,3290412,Oklahoma,Okla.,OK
1983,OR,2653095,Oregon,Ore.,OR
1983,PA,11837787,Pennsylvania,Pa.,PA
1983,RI,956378,Rhode Island,R.I.,RI
1983,SC,3234093,South Carolina,S.C.,SC
1983,SD,693017,South Dakota,S.D.,SD
1983,TN,4659799,Tennessee,Tenn.,TN
1983,TX,15751679,Texas,Tex.,TX
1983,UT,1594953,Utah,Utah,UT
1983,VA,5564676,Virginia,Va.,VA
1983,VT,523310,Vermont,Vt.,VT
1983,WA,4300267,Washington,Wash.,WA
1983,WI,4721428,Wisconsin,Wis.,WI
1983,WV,1945096,West Virginia,W.Va.,WV
1983,WY,510350,Wyoming,Wyo.,WY
1984,AK,513697,Alaska,Alaska,AK
1984,AL,3951766,Alabama,Ala.,AL
1984,AR,2319782,Arkansas,Ark.,AR
1984,AZ,3067125,Arizona,Ariz.,AZ
1984,CA,25844380,California,Calif.,CA
1984,CO,3170024,Colorado,Colo.,CO
1984,CT,3180017,Connecticut,Conn.,CT
1984,DC,633385,District of Columbia,D.C.,DC
1984,DE,611567,Delaware,Del.,DE
1984,FL,11039982,Florida,Fla.,FL
1984,GA,5835018,Georgia,Ga.,GA
1984,HI,1027923,Hawaii,Hawaii,HI
1984,IA,2858631,Iowa,Iowa,IA
1984,ID,990811,Idaho,Idaho,ID
1984,IL,11412194,Illinois,Ill.,IL
1984,IN,5458334,Indiana,Ind.,IN
1984,KS,2424119,Kansas,Kans.,KS
1984,KY,3695426,Kentucky,Ky.,KY
1984,LA,4400521,Louisiana,La.,LA
1984,MA,5840782,Massachusetts,Mass.,MA
1984,MD,4365282,Maryland,Md.,MD
1984,ME,1155646,Maine,Maine,ME
1984,MI,9049453,Michigan,Mich.,MI
1984,MN,4157708,Minnesota,Minn.,MN
1984,MO,4975276,Missouri,Mo.,MO
1984,MS,2578030,Mississippi,Miss.,MS
1984,MT,820868,Montana,Mont.,MT
1984,NC,6164036,North Carolina,N.C.,NC
1984,ND,680484,North Dakota,N.D.,ND
1984,NE,1588598,Nebraska,Nebr.,NE
1984,NH,976879,New Hampshire,N.H.,NH
1984,NJ,7515486,New Jersey,N.J.,NJ
1984,NM,1416763,New Mexico,N.M.,NM
1984,NV,924917,Nevada,Nev.,NV
1984,NY,17745710,New York,N.Y.,NY
1984,OH,10737767,Ohio,Ohio,OH
1984,OK,3285581,Oklahoma,Okla.,OK
1984,OR,2666598,Oregon,Ore.,OR
1984,PA,11815214,Pennsylvania,Pa.,PA
1984,RI,961898,Rhode Island,R.I.,RI
1984,SC,3271923,South Carolina,S.C.,SC
1984,SD,697207,South Dakota,S.D.,SD
1984,TN,4686803,Tennessee,Tenn.,TN
1984,TX,16007171,Texas,Tex.,TX
1984,UT,1622339,Utah,Utah,UT
1984,VA,5643937,Virginia,Va.,VA
1984,VT,526662,Vermont,Vt.,VT
1984,WA,4343670,Washington,Wash.,WA
1984,WI,4735588,Wisconsin,Wis.,WI
1984,WV,1927675,West Virginia,W.Va.,WV
1984,WY,504891,Wyoming,Wyo.,WY
1985,AK,532503,Alaska,Alaska,AK
1985,AL,3972539,Alabama,Ala.,AL
1985,AR,2327069,Arkansas,Ark.,AR
1985,AZ,3183536,Arizona,Ariz.,AZ
1985,CA,26441100,California,Calif.,CA
1985,CO,3208691,Colorado,Colo.,CO
1985,CT,3201120,Connecticut,Conn.,CT
1985,DC,634545,District of Columbia,D.C.,DC
1985,DE,618287,Delaware,Del.,DE
1985,FL,11351091,Florida,Fla.,FL
1985,GA,5962708,Georgia,Ga.,GA
1985,HI,1039689,Hawaii,Hawaii,HI
1985,IA,2829691,Iowa,Iowa,IA
1985,ID,994050,Idaho,Idaho,ID
1985,IL,11399816,Illinois,Ill.,IL
1985,IN,5459201,Indiana,Ind.,IN
1985,KS,2427428,Kansas,Kans.,KS
1985,KY,3694833,Kentucky,Ky.,KY
1985,LA,4408128,Louisiana,La.,LA
1985,MA,5880748,Massachusetts,Mass.,MA
1985,MD,4413118,Maryland,Md.,MD
1985,ME,1162942,Maine,Maine,ME
1985,MI,9076282,Michigan,Mich.,MI
1985,MN,4184290,Minnesota,Minn.,MN
1985,MO,5000286,Missouri,Mo.,MO
1985,MS,2588120,Mississippi,Miss.,MS
1985,MT,822326,Montana,Mont.,MT
1985,NC,6253991,North Carolina,N.C.,NC
1985,ND,676978,North Dakota,N.D.,ND
1985,NE,1584659,Nebraska,Nebr.,NE
1985,NH,996760,New Hampshire,N.H.,NH
1985,NJ,7565511,New Jersey,N.J.,NJ
1985,NM,1438385,New Mexico,N.M.,NM
1985,NV,951040,Nevada,Nev.,NV
1985,NY,17791750,New York,N.Y.,NY
1985,OH,10734943,Ohio,Ohio,OH
1985,OK,3271395,Oklahoma,Okla.,OK
1985,OR,2672681,Oregon,Ore.,OR
1985,PA,11770908,Pennsylvania,Pa.,PA
1985,RI,968958,Rhode Island,R.I.,RI
1985,SC,3303250,South Carolina,S.C.,SC
1985,SD,698404,South Dakota,S.D.,SD
1985,TN,4715288,Tennessee,Tenn.,TN
1985,TX,16272777,Texas,Tex.,TX
1985,UT,1642906,Utah,Utah,UT
1985,VA,5715198,Virginia,Va.,VA
1985,VT,530031,Vermont,Vt.,VT
1985,WA,4400084,Washington,Wash.,WA
1985,WI,4747766,Wisconsin,Wis.,WI
1985,WV,1906823,West Virginia,W.Va.,WV
1985,WY,499688,Wyoming,Wyo.,WY
1986,AK,544270,Alaska,Alaska,AK
1986,AL,3991552,Alabama,Ala.,AL
1986,AR,2331988,Arkansas,Ark.,AR
1986,AZ,3308269,Arizona,Ariz.,AZ
1986,CA,27102241,California,Calif.,CA
1986,CO,3237457,Colorado,Colo.,CO
1986,CT,3223744,Connecticut,Conn.,CT
1986,DC,638280,District of Columbia,D.C.,DC
1986,DE,627545,Delaware,Del.,DE
1986,FL,11667511,Florida,Fla.,FL
1986,GA,6084739,Georgia,Ga.,GA
1986,HI,1051767,Hawaii,Hawaii,HI
1986,IA,2791923,Iowa,Iowa,IA
1986,ID,990259,Idaho,Idaho,ID
1986,IL,11387247,Illinois,Ill.,IL
1986,IN,5454137,Indiana,Ind.,IN
1986,KS,2432638,Kansas,Kans.,KS
1986,KY,3687821,Kentucky,Ky.,KY
1986,LA,4406953,Louisiana,La.,LA
1986,MA,5902658,Massachusetts,Mass.,MA
1986,MD,4487008,Maryland,Md.,MD
1986,ME,1170120,Maine,Maine,ME
1986,MI,9127778,Michigan,Mich.,MI
1986,MN,4205257,Minnesota,Minn.,MN
1986,MO,5023077,Missouri,Mo.,MO
1986,MS,2593609,Mississippi,Miss.,MS
1986,MT,813770,Montana,Mont.,MT
1986,NC,6321646,North Carolina,N.C.,NC
1986,ND,669520,North Dakota,N.D.,ND
1986,NE,1574301,Nebraska,Nebr.,NE
1986,NH,1025069,New Hampshire,N.H.,NH
1986,NJ,7622189,New Jersey,N.J.,NJ
1986,NM,1462762,New Mexico,N.M.,NM
1986,NV,980635,Nevada,Nev.,NV
1986,NY,17833489,New York,N.Y.,NY
1986,OH,10730284,Ohio,Ohio,OH
1986,OK,3252756,Oklahoma,Okla.,OK
1986,OR,2683537,Oregon,Ore.,OR
1986,PA,11782786,Pennsylvania,Pa.,PA
1986,RI,977341,Rhode Island,R.I.,RI
1986,SC,3342740,South Carolina,S.C.,SC
1986,SD,696014,South Dakota,S.D.,SD
1986,TN,4738700,Tennessee,Tenn.,TN
1986,TX,16561153,Texas,Tex.,TX
1986,UT,1662830,Utah,Utah,UT
1986,VA,5811695,Virginia,Va.,VA
1986,VT,534065,Vermont,Vt.,VT
1986,WA,4452726,Washington,Wash.,WA
1986,WI,4755646,Wisconsin,Wis.,WI
1986,WV,1882351,West Virginia,W.Va.,WV
1986,WY,495619,Wyoming,Wyo.,WY
1987,AK,539324,Alaska,Alaska,AK
1987,AL,4015266,Alabama,Ala.,AL
1987,AR,2342405,Arkansas,Ark.,AR
1987,AZ,3437097,Arizona,Ariz.,AZ
1987,CA,27777121,California,Calif.,CA
1987,CO,3260504,Colorado,Colo.,CO
1987,CT,3247304,Connecticut,Conn.,CT
1987,DC,636931,District of Columbia,D.C.,DC
1987,DE,636950,Delaware,Del.,DE
1987,FL,11997293,Florida,Fla.,FL
1987,GA,6208502,Georgia,Ga.,GA
1987,HI,1067914,Hawaii,Hawaii,HI
1987,IA,2767011,Iowa,Iowa,IA
1987,ID,985010,Idaho,Idaho,ID
1987,IL,11391175,Illinois,Ill.,IL
1987,IN,5473040,Indiana,Ind.,IN
1987,KS,2445422,Kansas,Kans.,KS
1987,KY,3683341,Kentucky,Ky.,KY
1987,LA,4344222,Louisiana,La.,LA
1987,MA,5935207,Massachusetts,Mass.,MA
1987,MD,4565574,Maryland,Md.,MD
1987,ME,1184588,Maine,Maine,ME
1987,MI,9187469,Michigan,Mich.,MI
1987,MN,4235173,Minnesota,Minn.,MN
1987,MO,5056727,Missouri,Mo.,MO
1987,MS,2588571,Mississippi,Miss.,MS
1987,MT,805084,Montana,Mont.,MT
1987,NC,6403731,North Carolina,N.C.,NC
1987,ND,661140,North Dakota,N.D.,ND
1987,NE,1566549,Nebraska,Nebr.,NE
1987,NH,1054291,New Hampshire,N.H.,NH
1987,NJ,7670784,New Jersey,N.J.,NJ
1987,NM,1478507,New Mexico,N.M.,NM
1987,NV,1023357,Nevada,Nev.,NV
1987,NY,17868881,New York,N.Y.,NY
1987,OH,10760062,Ohio,Ohio,OH
1987,OK,3210172,Oklahoma,Okla.,OK
1987,OR,2701015,Oregon,Ore.,OR
1987,PA,11810896,Pennsylvania,Pa.,PA
1987,RI,989597,Rhode Island,R.I.,RI
1987,SC,3380520,South Carolina,S.C.,SC
1987,SD,696032,South Dakota,S.D.,SD
1987,TN,4782935,Tennessee,Tenn.,TN
1987,TX,16621954,Texas,Tex.,TX
1987,UT,1678126,Utah,Utah,UT
1987,VA,5932261,Virginia,Va.,VA
1987,VT,540266,Vermont,Vt.,VT
1987,WA,4531896,Washington,Wash.,WA
1987,WI,4777977,Wisconsin,Wis.,WI
1987,WV,1857590,West Virginia,W.Va.,WV
1987,WY,476974,Wyoming,Wyo.,WY
1988,AK,541999,Alaska,Alaska,AK
1988,AL,4023902,Alabama,Ala.,AL
1988,AR,2342643,Arkansas,Ark.,AR
1988,AZ,3535200,Arizona,Ariz.,AZ
1988,CA,28464230,California,Calif.,CA
1988,CO,3262279,Colorado,Colo.,CO
1988,CT,3271957,Connecticut,Conn.,CT
1988,DC,630427,District of Columbia,D.C.,DC
1988,DE,647621,Delaware,Del.,DE
1988,FL,12306421,Florida,Fla.,FL
1988,GA,6316185,Georgia,Ga.,GA
1988,HI,1079830,Hawaii,Hawaii,HI
1988,IA,2768370,Iowa,Iowa,IA
1988,ID,985680,Idaho,Idaho,ID
1988,IL,11390222,Illinois,Ill.,IL
1988,IN,5491729,Indiana,Ind.,IN
1988,KS,2462057,Kansas,Kans.,KS
1988,KY,3679990,Kentucky,Ky.,KY
1988,LA,4288939,Louisiana,La.,LA
1988,MA,5979997,Massachusetts,Mass.,MA
1988,MD,4657894,Maryland,Md.,MD
1988,ME,1203850,Maine,Maine,ME
1988,MI,9218025,Michigan,Mich.,MI
1988,MN,4296162,Minnesota,Minn.,MN
1988,MO,5081731,Missouri,Mo.,MO
1988,MS,2580377,Mississippi,Miss.,MS
1988,MT,800194,Montana,Mont.,MT
1988,NC,6480675,North Carolina,N.C.,NC
1988,ND,655324,North Dakota,N.D.,ND
1988,NE,1571465,Nebraska,Nebr.,NE
1988,NH,1082583,New Hampshire,N.H.,NH
1988,NJ,7712352,New Jersey,N.J.,NJ
1988,NM,1490356,New Mexico,N.M.,NM
1988,NV,1075033,Nevada,Nev.,NV
1988,NY,17941357,New York,N.Y.,NY
1988,OH,10798630,Ohio,Ohio,OH
1988,OK,3167148,Oklahoma,Okla.,OK
1988,OR,2741316,Oregon,Ore.,OR
1988,PA,11845774,Pennsylvania,Pa.,PA
1988,RI,996406,Rhode Island,R.I.,RI
1988,SC,3412102,South Carolina,S.C.,SC
1988,SD,698144,South Dakota,S.D.,SD
1988,TN,4822432,Tennessee,Tenn.,TN
1988,TX,16667146,Texas,Tex.,TX
1988,UT,1689374,Utah,Utah,UT
1988,VA,6036907,Virginia,Va.,VA
1988,VT,549758,Vermont,Vt.,VT
1988,WA,4639911,Washington,Wash.,WA
1988,WI,4822365,Wisconsin,Wis.,WI
1988,WV,1830227,West Virginia,W.Va.,WV
1988,WY,465080,Wyoming,Wyo.,WY
1989,AK,547170,Alaska,Alaska,AK
1989,AL,4030239,Alabama,Ala.,AL
1989,AR,2346375,Arkansas,Ark.,AR
1989,AZ,3622180,Arizona,Ariz.,AZ
1989,CA,29218163,California,Calif.,CA
1989,CO,3275826,Colorado,Colo.,CO
1989,CT,3283420,Connecticut,Conn.,CT
1989,DC,624160,District of Columbia,D.C.,DC
1989,DE,658279,Delaware,Del.,DE
1989,FL,12637697,Florida,Fla.,FL
1989,GA,6411121,Georgia,Ga.,GA
1989,HI,1094587,Hawaii,Hawaii,HI
1989,IA,2770581,Iowa,Iowa,IA
1989,ID,994396,Idaho,Idaho,ID
1989,IL,11409801,Illinois,Ill.,IL
1989,IN,5523668,Indiana,Ind.,IN
1989,KS,2472864,Kansas,Kans.,KS
1989,KY,3677287,Kentucky,Ky.,KY
1989,LA,4252958,Louisiana,La.,LA
1989,MA,6015492,Massachusetts,Mass.,MA
1989,MD,4727303,Maryland,Md.,MD
